key,name,codeIATA,website,type,foundationMoment,email,phone
# name
airline-01,airline,AAX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-02,L,ABX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-03,Lo,ACX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-04,"Lorem ipsum dolor sit amet, consectetur adipiscin",ADX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-05,"Lorem ipsum dolor sit amet, consectetur adipiscing",AEX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-06,โลเร็ม อิปซัม,AFX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-07,لوريم إيبسوم,AGX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-08,"洛伦·伊普森",AHX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-09,<marquee>Hacked</marquee>,AIX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-10,<script>alert(‘Hacked!’);</script>,AJX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-11,' or 'A' = 'A ,AKX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
# codeIATA
airline-12,airline,XXX,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-13,airline,ZZZ,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-14,airline,AAA,"http://lorem.com/ipsum",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
# website
airline-15,airline,ALX,"ftp://a",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-16,airline,AMX,"ftp://a.b",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-17,airline,ANX,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
airline-18,airline,AOX,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",LUXURY,2012/07/02 00:00,"acme@lorem-ipsum.org",+123456789
