key,name,IATAcode,scope,city,country,web,email,phone
# name
airport-01,airport,ZAX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-02,L,ZBX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-03,Lo,ZCX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-04,"Lorem ipsum dolor sit amet, consectetur adipiscin",ZDX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-05,"Lorem ipsum dolor sit amet, consectetur adipiscing",ZEX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-06,โลเร็ม อิปซัม,ZFX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-07,لوريم إيبسوم,ZGX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-08,洛伦·伊普森,ZHX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-09,<marquee>Hacked</marquee>,ZIX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-10,<script>alert(‘Hacked!’);</script>,ZJX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-11,' or 'A' = 'A,ZKX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
# IATAcode
airport-12,airport,BBB,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-13,airport,HHH,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-14,airport,III,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
# scope
airport-15,airport,ZLX,INTERNATIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-16,airport,ZMX,DOMESTIC,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-17,airport,ZNX,REGIONAL,lorem,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
# city
airport-18,airport,ZOX,INTERNATIONAL,L,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-19,airport,ZPX,INTERNATIONAL,Lo,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-20,airport,ZQX,INTERNATIONAL,"Lorem ipsum dolor sit amet, consectetur adipiscin",lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-21,airport,ZRX,INTERNATIONAL,"Lorem ipsum dolor sit amet, consectetur adipiscing",lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-22,airport,ZSX,INTERNATIONAL,โลเร็ม อิปซัม,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-23,airport,ZTX,INTERNATIONAL,لوريم إيبسوم,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-24,airport,ZUX,INTERNATIONAL,洛伦·伊普森,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-25,airport,ZVX,INTERNATIONAL,<marquee>Hacked</marquee>,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
airport-26,airport,ZWX,INTERNATIONAL,<script>alert(‘Hacked!’);</script>,lorem,http://lorem.com/ipsum,acme@lorem-ipsum.org,+123456789
